time,0,1,2
0.0,0.0,0.0,0.0
15000.0,393.5072,0.8867,-1.5242
30000.0,395.7507,0.8513,-1.5913
45000.0,540.4913,1.0469,-2.043
60000.0,485.0826,0.6373,-2.1216
75000.0,485.6281,1.0052,-2.1323
90000.0,488.9141,1.0234,-2.1291
105000.0,522.3604,0.7885,-1.9685
120000.0,456.6864,0.8741,-1.6978
135000.0,411.8024,0.7831,-0.9503
150000.0,388.1025,0.1724,-493.96
165000.0,352.3502,454.3079,0.064
180000.0,333.5545,417.3568,0.0618
195000.0,321.799,272.1981,-127.6832
210000.0,314.1912,160.7099,-215.3916
225000.0,278.8035,96.8596,-223.9882
240000.0,292.459,102.1134,-226.5105
255000.0,292.1207,68.041,-256.0817
270000.0,299.0352,63.1039,-284.7011
285000.0,333.1621,86.0712,-285.1838
300000.0,313.5712,100.6011,-243.27
315000.0,322.9942,153.9345,-201.8427
330000.0,340.992,160.349,-203.9907
345000.0,320.3219,167.2335,-190.6773
360000.0,329.7928,175.8923,-189.4195
375000.0,321.1792,173.2399,-188.7288
390000.0,323.4037,177.7891,-182.9984
405000.0,321.8109,167.3095,-187.287
420000.0,318.6679,166.731,-185.7721
435000.0,336.2044,179.873,-190.9775
450000.0,363.4776,185.8997,-215.5781
465000.0,396.8198,191.925,-227.7932
480000.0,427.6612,234.8711,-238.7544
495000.0,434.1619,273.1543,-199.015
510000.0,410.3604,279.6019,-168.1218
525000.0,375.4987,281.6594,-131.8735
540000.0,386.745,288.5887,-137.444
555000.0,408.8442,294.5359,-185.6989
570000.0,413.6259,298.4053,-189.7714
585000.0,412.9257,302.6151,-189.8688
600000.0,419.0797,462.0975,-45.7045
615000.0,423.3544,472.2826,-63.2488
630000.0,275.4249,286.0429,-49.7125
645000.0,265.1287,245.141,-83.3647
660000.0,253.0387,267.7069,-44.4549
675000.0,255.3712,272.0941,-43.4981
690000.0,230.8783,229.5986,-43.9317
705000.0,336.9105,382.8255,-42.9941
720000.0,124.7855,84.7777,-44.4056
735000.0,153.2296,99.9066,-65.4406
750000.0,290.4926,66.3266,-172.271
765000.0,437.3891,62.3563,-198.0957
780000.0,286.0991,61.2287,0.1262
795000.0,326.779,45.9502,0.1211
810000.0,282.2637,43.8431,0.1633
825000.0,287.4738,45.0624,0.0977
840000.0,242.7776,0.8239,-0.1813
855000.0,399.116,1.3261,0.1043
870000.0,477.8762,2.1767,0.1336
885000.0,506.0913,2.8168,0.1039
900000.0,477.5701,2.0093,0.1254
915000.0,487.5948,2.2032,-0.0711
930000.0,472.7835,1.4934,-0.653
945000.0,522.0099,1.4858,-1.4243
960000.0,523.0744,1.4167,-1.4239
975000.0,535.2448,1.6406,-1.4142
990000.0,508.4513,1.4508,-1.4538
1005000.0,489.5102,1.3463,-1.5466
1020000.0,411.5649,0.9382,-1.6488
1035000.0,444.7672,1.6426,-1.7523
1050000.0,479.2988,1.0568,-1.8902
1065000.0,457.8863,1.0061,-1.8113
1080000.0,454.658,1.0535,-1.8027
1095000.0,303.2143,0.4554,-1.2606
1110000.0,169.5982,0.1069,-0.7617
1125000.0,258.2117,0.3072,-1.0926
1140000.0,176.9957,0.024,-0.7773
1155000.0,186.1108,0.4248,-0.77
1170000.0,185.5023,0.3769,-0.7731
1185000.0,234.6931,0.6409,-0.9577
1200000.0,234.233,0.5734,-0.9669
1215000.0,218.808,0.5498,-0.9049
1230000.0,17.6385,-0.5106,-0.0076
1245000.0,17.6432,0.0136,-0.0351
1260000.0,96.3215,0.6258,-0.359
1275000.0,176.475,0.6055,-0.732
1290000.0,264.1089,1.4153,-1.1222
1305000.0,281.4819,0.0416,-1.0837
1320000.0,98.4455,-0.112,-0.3315
1335000.0,358.4552,2.0592,-1.5413
1350000.0,362.8978,0.6912,-1.5152
1365000.0,267.847,0.235,-1.1045
1380000.0,380.0304,1.6061,-1.7244
1395000.0,99.6034,-0.4755,-0.3692
1410000.0,97.9529,-0.0081,-0.3591
1425000.0,455.1443,1.4747,-1.9108
1440000.0,454.3688,1.4018,-1.9268
1455000.0,366.7868,0.918,-1.533
1470000.0,260.547,0.2589,-1.061
1485000.0,55.9329,-0.7614,-0.1564
1500000.0,139.8604,1.0506,-0.472
1515000.0,535.6155,2.0708,-2.2786
1530000.0,359.9266,0.3525,-1.4014
1545000.0,366.6553,1.0978,-1.4726
1560000.0,192.1504,0.5013,-0.8002
1575000.0,16.5679,-0.2897,-0.0247
1590000.0,148.4716,1.2702,-0.5941
1605000.0,534.2372,1.5481,-2.1946
1620000.0,188.5193,-0.3809,-0.7314
1635000.0,96.5111,-0.001,-0.4356
1650000.0,73.2974,-0.1426,-0.3369
1665000.0,11.2032,-0.1517,-0.0235
1680000.0,203.2926,1.7441,-0.8397
1695000.0,342.626,-0.2291,-1.3401
1710000.0,107.0269,0.1427,-0.4386
1725000.0,606.6967,1.3277,-2.4028
